reporter_country_code,reporter_country,fbs_item_code,fbs_item,Domestic supply quantity,Export Quantity,Import Quantity,Production,Stock Variation,new_domestic,d,E_re,E_dom
2,Africa,2580,Olive Oil,435000,405000,45000,770000,-25000,435000,360000,0.1111111111111111,0.8888888888888888
2,Africa,2581,Ricebran Oil,0,0,0,0,0,0,0,NA,NA
2,Africa,2582,Maize Germ Oil,315000,38000,126000,175000,-51000,314000,-88000,1,0
2,Africa,2586,"Oilcrops Oil, Other",1754000,603000,943000,1570000,156000,1754000,-340000,1,0
2,Africa,2601,Tomatoes and products,24308000,986000,3200000,22096000,2000,24308000,-2214000,1,0
2,Africa,2602,Onions,14278000,670000,783000,14165000,0,14278000,-113000,1,0
2,Africa,2605,"Vegetables, other",57182000,2595000,1410000,58433000,66000,57182000,1185000,0.5433526011560693,0.4566473988439307
2,Africa,2611,"Oranges, Mandarines",9911000,4341000,457000,13732000,-63000,9911000,3884000,0.10527528219304308,0.894724718
2,Africa,2612,"Lemons, Limes and products",1159000,735000,51000,1829000,-15000,1160000,684000,0.069387755,0.9306122448979592
2,Africa,2613,Grapefruit and products,538000,328000,16000,853000,3000,538000,312000,0.048780488,0.9512195121951219
2,Africa,2614,"Citrus, Other",5280000,27000,25000,5292000,10000,5280000,2000,0.9259259259259259,0.074074074
2,Africa,2615,Bananas,21691000,844000,596000,21938000,0,21690000,248000,0.7061611374407583,0.29383886255924174
2,Africa,2616,Plantains,32068000,104000,53000,32118000,0,32067000,51000,0.5096153846153846,0.4903846153846154
2,Africa,2617,Apples and products,3467000,773000,972000,3282000,14000,3467000,-199000,1,0
2,Africa,2618,Pineapples and products,4874000,542000,252000,5183000,18000,4875000,290000,0.46494464944649444,0.5350553505535056
2,Africa,2619,Dates,3939000,300000,192000,4048000,0,3940000,108000,0.64,0.36
2,Africa,2620,Grapes and products (excl wine),3862000,789000,218000,4384000,-49000,3862000,571000,0.27629911280101394,0.7237008871989861
2,Africa,2625,"Fruits, other",21878000,2071000,893000,23253000,197000,21878000,1178000,0.43119266055045874,0.5688073394495412
2,Africa,2630,Coffee and products,1105000,931000,657000,1421000,41000,1106000,274000,0.7056928034371643,0.29430719656283566
2,Africa,2633,Cocoa Beans and products,535000,3397000,253000,3986000,307000,535000,3144000,0.07447748,0.92552252
2,Africa,2635,Tea (including mate),3709000,800000,330000,4109000,-70000,3709000,470000,0.4125,0.5875
2,Africa,2640,Pepper,108000,16000,42000,86000,4000,108000,-26000,1,0
2,Africa,2641,Pimento,928000,13000,29000,985000,73000,928000,-16000,1,0
2,Africa,2642,Cloves,25000,21000,8000,41000,3000,25000,13000,0.38095238095238093,0.6190476190476191
2,Africa,2645,"Spices, Other",1343000,140000,193000,1276000,-14000,1343000,-53000,1,0
2,Africa,2655,Wine,1001000,425000,309000,1132000,15000,1001000,116000,0.7270588235294118,0.27294117647058824
2,Africa,2656,Beer,12599000,266000,597000,12430000,162000,12599000,-331000,1,0
2,Africa,2657,"Beverages, Fermented",15541000,55000,74000,16225000,703000,15541000,-19000,1,0
2,Africa,2658,"Beverages, Alcoholic",1015000,136000,195000,771000,-185000,1015000,-59000,1,0
2,Africa,2659,"Alcohol, Non-Food",802000,325000,537000,585000,-4000,801000,-212000,1,0
2,Africa,2680,Infant food,111000,22000,142000,0,8000,112000,-120000,1,0
2,Africa,2731,Bovine Meat,7173000,85000,442000,6849000,34000,7172000,-357000,1,0
2,Africa,2732,Mutton & Goat Meat,3282000,31000,11000,3324000,22000,3282000,20000,0.3548387096774194,0.6451612903225806
2,Africa,2733,Pigmeat,2287000,30000,297000,2026000,6000,2287000,-267000,1,0
2,Africa,2734,Poultry Meat,8998000,109000,1854000,7246000,-7000,8998000,-1745000,1,0
2,Africa,2735,"Meat, Other",1653000,19000,9000,1676000,13000,1653000,10000,0.47368421052631576,0.5263157894736843
2,Africa,2736,"Offals, Edible",2908000,18000,853000,2073000,0,2908000,-835000,1,0
2,Africa,2737,"Fats, Animals, Raw",663000,26000,238000,469000,17000,664000,-212000,1,0
